geography_type,geoid,name,acs_period,source_variable,duration,estimate_grandparents_in_duration,moe_grandparents_in_duration,denominator_responsible_grandparents,denominator_moe,percent_of_responsible_grandparents,percent_moe,percent_ci90_lower,percent_ci90_upper,precision_disposition,duration_reconciliation_status
Georgia place,1321268,"Daisy city, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1321324,"Dallas city, Georgia",2020-2024,B10050_006,One or two years,154,141,154,141,100,129.48318980169248,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1321380,"Dalton city, Georgia",2020-2024,B10050_006,One or two years,30,35,291,204,10.309278350515465,9.614012856580086,0.6952654939353771,19.92329120709555,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1321436,"Damascus city, Georgia",2020-2024,B10050_006,One or two years,0,14,1,2,0,1400,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1321632,"Danielsville city, Georgia",2020-2024,B10050_006,One or two years,0,14,5,7,0,280,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1321688,"Danville town, Georgia",2020-2024,B10050_006,One or two years,10,17,17,19,58.82352941176471,75.3507381756104,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1321716,"Darien city, Georgia",2020-2024,B10050_006,One or two years,0,14,20,25,0,70,0,70,Unavailable MOE or zero percentage,Pass
Georgia place,1321744,"Dasher town, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1321800,"Davisboro city, Georgia",2020-2024,B10050_006,One or two years,11,17,14,18,78.57142857142857,67.37785313967012,11.193575431758449,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1321912,"Dawson city, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1321940,"Dawsonville city, Georgia",2020-2024,B10050_006,One or two years,0,14,26,42,0,53.84615384615385,0,53.84615384615385,Unavailable MOE or zero percentage,Pass
Georgia place,1322024,"Dearing town, Georgia",2020-2024,B10050_006,One or two years,0,14,16,32,0,87.5,0,87.5,Unavailable MOE or zero percentage,Pass
Georgia place,1322052,"Decatur city, Georgia",2020-2024,B10050_006,One or two years,0,27,0,27,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1322080,"Deenwood CDP, Georgia",2020-2024,B10050_006,One or two years,0,14,14,17,0,100,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1322108,"Deepstep town, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1322304,"Demorest city, Georgia",2020-2024,B10050_006,One or two years,15,27,15,27,100,254.55844122715715,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1322388,"Denton city, Georgia",2020-2024,B10050_006,One or two years,0,14,56,74,0,25,0,25,Unavailable MOE or zero percentage,Pass
Georgia place,1322472,"De Soto city, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1322724,"Dewy Rose CDP, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1322752,"Dexter town, Georgia",2020-2024,B10050_006,One or two years,0,14,28,35,0,50,0,50,Unavailable MOE or zero percentage,Pass
Georgia place,1322976,"Dillard city, Georgia",2020-2024,B10050_006,One or two years,0,14,1,3,0,1400,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1323060,"Dixie CDP, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1323144,"Dixie Union CDP, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1323200,"Dock Junction CDP, Georgia",2020-2024,B10050_006,One or two years,6,24,112,89,5.357142857142857,21.00146409545837,0,26.358606952601228,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1323284,"Doerun city, Georgia",2020-2024,B10050_006,One or two years,0,14,16,13,0,87.5,0,87.5,Unavailable MOE or zero percentage,Pass
Georgia place,1323368,"Donalsonville city, Georgia",2020-2024,B10050_006,One or two years,65,71,189,139,34.39153439153439,27.77528497758375,6.616249413950644,62.166819369118144,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1323480,"Dooling town, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1323536,"Doraville city, Georgia",2020-2024,B10050_006,One or two years,0,23,33,57,0,69.6969696969697,0,69.6969696969697,Unavailable MOE or zero percentage,Pass
Georgia place,1323872,"Douglas city, Georgia",2020-2024,B10050_006,One or two years,119,123,272,157,43.75,37.51266248108092,6.237337518919077,81.26266248108092,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1323900,"Douglasville city, Georgia",2020-2024,B10050_006,One or two years,0,30,113,88,0,26.548672566371685,0,26.548672566371685,Unavailable MOE or zero percentage,Pass
Georgia place,1324264,"Druid Hills CDP, Georgia",2020-2024,B10050_006,One or two years,0,20,0,20,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1324376,"Dublin city, Georgia",2020-2024,B10050_006,One or two years,8,13,57,48,14.035087719298245,19.505660364060574,0,33.54074808335882,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1324488,"Dudley city, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1324600,"Duluth city, Georgia",2020-2024,B10050_006,One or two years,0,30,225,103,0,13.333333333333334,0,13.333333333333334,Unavailable MOE or zero percentage,Pass
Georgia place,1324768,"Dunwoody city, Georgia",2020-2024,B10050_006,One or two years,0,34,48,60,0,70.83333333333334,0,70.83333333333334,Unavailable MOE or zero percentage,Pass
Georgia place,1324796,"Du Pont town, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1324876,"Dutch Island CDP, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1324964,"Eagle Grove CDP, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1325300,"East Dublin city, Georgia",2020-2024,B10050_006,One or two years,0,14,5,7,0,280,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1325356,"East Ellijay city, Georgia",2020-2024,B10050_006,One or two years,8,19,8,19,100,335.87572106361006,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1325440,"East Griffin CDP, Georgia",2020-2024,B10050_006,One or two years,0,14,19,22,0,73.68421052631578,0,73.68421052631578,Unavailable MOE or zero percentage,Pass
Georgia place,1325552,"Eastman city, Georgia",2020-2024,B10050_006,One or two years,11,17,11,17,100,218.5602778212965,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1325692,"East Newnan CDP, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1325720,"East Point city, Georgia",2020-2024,B10050_006,One or two years,57,66,377,189,15.119363395225465,15.780677216578637,0,30.9000406118041,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1326084,"Eatonton city, Georgia",2020-2024,B10050_006,One or two years,11,19,51,39,21.568627450980394,33.40489518656656,0,54.97352263754696,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1326156,"Echols County consolidated government, Georgia",2020-2024,B10050_006,One or two years,120,140,162,148,74.07407407407408,53.74747863728309,20.32659543679099,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1326224,"Edge Hill city, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1326448,"Edison city, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1326616,"Elberton city, Georgia",2020-2024,B10050_006,One or two years,0,14,22,31,0,63.63636363636363,0,63.63636363636363,Unavailable MOE or zero percentage,Pass
Georgia place,1326980,"Ellaville city, Georgia",2020-2024,B10050_006,One or two years,0,14,4,6,0,350,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1327008,"Ellenton town, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1327064,"Ellerslie CDP, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1327092,"Ellijay city, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1327344,"Emerson city, Georgia",2020-2024,B10050_006,One or two years,0,14,32,46,0,43.75,0,43.75,Unavailable MOE or zero percentage,Pass
Georgia place,1327512,"Empire CDP, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1327596,"Enigma town, Georgia",2020-2024,B10050_006,One or two years,5,8,5,8,100,226.2741699796952,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1327708,"Ephesus city, Georgia",2020-2024,B10050_006,One or two years,2,3,7,8,28.57142857142857,27.758103079051928,0.8133254923766415,56.3295316504805,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1327736,"Epworth CDP, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1327932,"Eton city, Georgia",2020-2024,B10050_006,One or two years,0,14,2,4,0,700,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1327988,"Euharlee city, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1328016,"Eulonia CDP, Georgia",2020-2024,B10050_006,One or two years,0,14,72,36,0,19.444444444444446,0,19.444444444444446,Unavailable MOE or zero percentage,Pass
Georgia place,1328044,"Evans CDP, Georgia",2020-2024,B10050_006,One or two years,0,30,173,162,0,17.341040462427745,0,17.341040462427745,Unavailable MOE or zero percentage,Pass
Georgia place,1328100,"Everett CDP, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1328296,"Experiment CDP, Georgia",2020-2024,B10050_006,One or two years,0,14,49,53,0,28.57142857142857,0,28.57142857142857,Unavailable MOE or zero percentage,Pass
Georgia place,1328324,"Faceville CDP, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1328380,"Fairburn city, Georgia",2020-2024,B10050_006,One or two years,117,192,194,211,60.30927835051546,74.10998389856258,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1328440,"Fairfield Plantation CDP, Georgia",2020-2024,B10050_006,One or two years,0,20,59,68,0,33.89830508474576,0,33.89830508474576,Unavailable MOE or zero percentage,Pass
Georgia place,1328492,"Fairmount city, Georgia",2020-2024,B10050_006,One or two years,0,14,14,14,0,100,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1328520,"Fair Oaks CDP, Georgia",2020-2024,B10050_006,One or two years,10,18,35,44,28.57142857142857,36.807184710515905,0,65.37861328194447,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1328548,"Fairplay CDP, Georgia",2020-2024,B10050_006,One or two years,0,14,6,10,0,233.33333333333337,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1328632,"Fairview CDP, Georgia",2020-2024,B10050_006,One or two years,27,39,124,112,21.774193548387096,24.544093650418723,0,46.31828719880582,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1328744,"Fargo city, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1328968,"Fayetteville city, Georgia",2020-2024,B10050_006,One or two years,53,68,138,100,38.405797101449274,40.66369898502952,0,79.0694960864788,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1329528,"Fitzgerald city, Georgia",2020-2024,B10050_006,One or two years,8,17,26,27,30.76923076923077,57.045379076442295,0,87.81460984567306,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1330088,"Flemington city, Georgia",2020-2024,B10050_006,One or two years,0,14,10,10,0,140,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1330312,"Flovilla city, Georgia",2020-2024,B10050_006,One or two years,0,14,48,80,0,29.166666666666668,0,29.166666666666668,Unavailable MOE or zero percentage,Pass
Georgia place,1330340,"Flowery Branch city, Georgia",2020-2024,B10050_006,One or two years,0,23,0,23,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1330424,"Folkston city, Georgia",2020-2024,B10050_006,One or two years,0,14,59,65,0,23.728813559322035,0,23.728813559322035,Unavailable MOE or zero percentage,Pass
Georgia place,1330536,"Forest Park city, Georgia",2020-2024,B10050_006,One or two years,27,45,105,88,25.71428571428571,37.04440866371714,0,62.75869437800286,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1330732,"Forsyth city, Georgia",2020-2024,B10050_006,One or two years,0,14,8,13,0,175,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1330816,"Fort Gaines city, Georgia",2020-2024,B10050_006,One or two years,2,5,22,22,9.090909090909092,20.829889522526543,0,29.920798613435636,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1330956,"Fort Oglethorpe city, Georgia",2020-2024,B10050_006,One or two years,0,23,15,24,0,153.33333333333334,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1331068,"Fort Stewart CDP, Georgia",2020-2024,B10050_006,One or two years,0,20,0,20,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1331096,"Fort Valley city, Georgia",2020-2024,B10050_006,One or two years,36,57,87,84,41.37931034482759,51.92602093194871,0,93.3053312767763,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1331292,"Franklin city, Georgia",2020-2024,B10050_006,One or two years,6,11,21,25,28.57142857142857,39.83514550192477,0,68.40657407335334,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1331320,"Franklin Springs city, Georgia",2020-2024,B10050_006,One or two years,6,11,18,31,33.33333333333333,20.95131203515697,12.382021298176358,54.2846453684903,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1331684,"Funston city, Georgia",2020-2024,B10050_006,One or two years,0,14,3,4,0,466.6666666666667,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1331908,"Gainesville city, Georgia",2020-2024,B10050_006,One or two years,25,40,163,103,15.337423312883436,22.54496921747521,0,37.88239253035864,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1332048,"Garden City city, Georgia",2020-2024,B10050_006,One or two years,139,156,183,176,75.95628415300546,43.936735115281614,32.01954903772384,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1332132,"Gardi CDP, Georgia",2020-2024,B10050_006,One or two years,0,14,5,11,0,280,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1332188,"Garfield city, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1332384,"Gay town, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1332412,"Geneva town, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1332482,"Georgetown CDP, Georgia",2020-2024,B10050_006,One or two years,0,23,102,130,0,22.54901960784314,0,22.54901960784314,Unavailable MOE or zero percentage,Pass
Georgia place,1332528,"Georgetown-Quitman County unified government, Georgia",2020-2024,B10050_006,One or two years,0,14,42,34,0,33.33333333333333,0,33.33333333333333,Unavailable MOE or zero percentage,Pass
Georgia place,1332748,"Gibson city, Georgia",2020-2024,B10050_006,One or two years,0,14,60,48,0,23.333333333333332,0,23.333333333333332,Unavailable MOE or zero percentage,Pass
Georgia place,1332860,"Gillsville city, Georgia",2020-2024,B10050_006,One or two years,0,14,1,3,0,1400,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1332916,"Girard town, Georgia",2020-2024,B10050_006,One or two years,0,14,2,4,0,700,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1333280,"Glenn CDP, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1333336,"Glennville city, Georgia",2020-2024,B10050_006,One or two years,0,20,107,103,0,18.69158878504673,0,18.69158878504673,Unavailable MOE or zero percentage,Pass
Georgia place,1333392,"Glenwood city, Georgia",2020-2024,B10050_006,One or two years,10,18,18,29,55.55555555555556,44.59422634853582,10.961329207019736,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1333672,"Godfrey CDP, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1333896,"Good Hope city, Georgia",2020-2024,B10050_006,One or two years,0,14,12,20,0,116.66666666666669,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1333980,"Gordon city, Georgia",2020-2024,B10050_006,One or two years,39,41,50,42,78,49.306486388709544,28.693513611290456,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1334176,"Gough CDP, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1334260,"Graham city, Georgia",2020-2024,B10050_006,One or two years,0,14,18,34,0,77.77777777777779,0,77.77777777777779,Unavailable MOE or zero percentage,Pass
Georgia place,1334428,"Grantville city, Georgia",2020-2024,B10050_006,One or two years,0,14,31,33,0,45.16129032258064,0,45.16129032258064,Unavailable MOE or zero percentage,Pass
Georgia place,1334512,"Gray city, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1334596,"Grayson city, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1334876,"Greensboro city, Georgia",2020-2024,B10050_006,One or two years,0,14,58,94,0,24.13793103448276,0,24.13793103448276,Unavailable MOE or zero percentage,Pass
Georgia place,1335016,"Greenville city, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1335240,"Gresham Park CDP, Georgia",2020-2024,B10050_006,One or two years,0,20,18,28,0,111.11111111111111,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1335324,"Griffin city, Georgia",2020-2024,B10050_006,One or two years,20,33,289,162,6.920415224913495,10.73953823527713,0,17.659953460190625,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1335716,"Grovetown city, Georgia",2020-2024,B10050_006,One or two years,0,23,96,114,0,23.958333333333336,0,23.958333333333336,Unavailable MOE or zero percentage,Pass
Georgia place,1335800,"Gumbranch city, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1335814,"Gumlog CDP, Georgia",2020-2024,B10050_006,One or two years,0,14,22,30,0,63.63636363636363,0,63.63636363636363,Unavailable MOE or zero percentage,Pass
Georgia place,1335884,"Guyton city, Georgia",2020-2024,B10050_006,One or two years,0,14,31,26,0,45.16129032258064,0,45.16129032258064,Unavailable MOE or zero percentage,Pass
Georgia place,1336024,"Hagan city, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1336052,"Hahira city, Georgia",2020-2024,B10050_006,One or two years,0,14,23,38,0,60.86956521739131,0,60.86956521739131,Unavailable MOE or zero percentage,Pass
Georgia place,1336220,"Hamilton city, Georgia",2020-2024,B10050_006,One or two years,5,9,5,9,100,254.5584412271571,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1336276,"Hampton city, Georgia",2020-2024,B10050_006,One or two years,56,80,126,89,44.44444444444444,55.18788783237167,0,99.63233227681611,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1336416,"Hannahs Mill CDP, Georgia",2020-2024,B10050_006,One or two years,0,14,57,66,0,24.561403508771928,0,24.561403508771928,Unavailable MOE or zero percentage,Pass
Georgia place,1336472,"Hapeville city, Georgia",2020-2024,B10050_006,One or two years,0,20,0,20,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1336528,"Haralson town, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1336668,"Hardwick CDP, Georgia",2020-2024,B10050_006,One or two years,0,14,38,43,0,36.84210526315789,0,36.84210526315789,Unavailable MOE or zero percentage,Pass
Georgia place,1336696,"Harlem city, Georgia",2020-2024,B10050_006,One or two years,0,14,165,141,0,8.484848484848486,0,8.484848484848486,Unavailable MOE or zero percentage,Pass
Georgia place,1336920,"Harrison town, Georgia",2020-2024,B10050_006,One or two years,2,4,2,4,100,282.842712474619,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1337144,"Hartwell city, Georgia",2020-2024,B10050_006,One or two years,18,29,90,73,20,27.8408173570948,0,47.8408173570948,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1337396,"Hawkinsville city, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1337564,"Hazlehurst city, Georgia",2020-2024,B10050_006,One or two years,0,14,49,67,0,28.57142857142857,0,28.57142857142857,Unavailable MOE or zero percentage,Pass
Georgia place,1337788,"Helen city, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1337910,"Henderson CDP, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1338040,"Hephzibah city, Georgia",2020-2024,B10050_006,One or two years,0,14,39,37,0,35.8974358974359,0,35.8974358974359,Unavailable MOE or zero percentage,Pass
Georgia place,1338105,"Heron Bay CDP, Georgia",2020-2024,B10050_006,One or two years,0,14,29,40,0,48.27586206896552,0,48.27586206896552,Unavailable MOE or zero percentage,Pass
Georgia place,1338124,"Hiawassee city, Georgia",2020-2024,B10050_006,One or two years,56,82,80,84,70,71.44228439796701,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1338292,"Hickox CDP, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1338348,"Higgston town, Georgia",2020-2024,B10050_006,One or two years,0,14,2,6,0,700,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1338866,"Hilltop CDP, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1338920,"Hiltonia town, Georgia",2020-2024,B10050_006,One or two years,0,14,5,8,0,280,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1339076,"Hiram city, Georgia",2020-2024,B10050_006,One or two years,13,27,13,27,100,293.72127833902744,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1339216,"Hoboken city, Georgia",2020-2024,B10050_006,One or two years,0,14,3,5,0,466.6666666666667,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1339244,"Hogansville city, Georgia",2020-2024,B10050_006,One or two years,0,14,11,18,0,127.27272727272728,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1339524,"Holly Springs city, Georgia",2020-2024,B10050_006,One or two years,0,23,48,64,0,47.91666666666667,0,47.91666666666667,Unavailable MOE or zero percentage,Pass
Georgia place,1339692,"Homeland city, Georgia",2020-2024,B10050_006,One or two years,0,14,2,3,0,700,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1339720,"Homer town, Georgia",2020-2024,B10050_006,One or two years,0,14,7,12,0,200,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1339748,"Homerville city, Georgia",2020-2024,B10050_006,One or two years,0,14,14,18,0,100,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1340028,"Hortense CDP, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1340056,"Hoschton city, Georgia",2020-2024,B10050_006,One or two years,0,14,34,32,0,41.17647058823529,0,41.17647058823529,Unavailable MOE or zero percentage,Pass
Georgia place,1340196,"Howard CDP, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1340532,"Hull city, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1340812,"Ideal city, Georgia",2020-2024,B10050_006,One or two years,0,14,54,58,0,25.925925925925924,0,25.925925925925924,Unavailable MOE or zero percentage,Pass
Georgia place,1340840,"Ila city, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1341036,"Indian Springs CDP, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1341344,"Iron City town, Georgia",2020-2024,B10050_006,One or two years,0,14,6,9,0,233.33333333333337,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1341347,"Irondale CDP, Georgia",2020-2024,B10050_006,One or two years,0,20,275,225,0,7.272727272727272,0,7.272727272727272,Unavailable MOE or zero percentage,Pass
Georgia place,1341400,"Irwinton city, Georgia",2020-2024,B10050_006,One or two years,0,14,5,5,0,280,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1341484,"Isle of Hope CDP, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1341540,"Ivey city, Georgia",2020-2024,B10050_006,One or two years,0,14,16,18,0,87.5,0,87.5,Unavailable MOE or zero percentage,Pass
Georgia place,1341596,"Jackson city, Georgia",2020-2024,B10050_006,One or two years,0,20,9,25,0,222.22222222222223,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1341708,"Jacksonville city, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1341792,"Jakin city, Georgia",2020-2024,B10050_006,One or two years,0,14,2,3,0,700,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1341932,"Jasper city, Georgia",2020-2024,B10050_006,One or two years,13,21,81,58,16.049382716049383,23.23970976597798,0,39.28909248202736,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1341988,"Jefferson city, Georgia",2020-2024,B10050_006,One or two years,0,23,106,74,0,21.69811320754717,0,21.69811320754717,Unavailable MOE or zero percentage,Pass
Georgia place,1342100,"Jeffersonville city, Georgia",2020-2024,B10050_006,One or two years,0,14,17,19,0,82.35294117647058,0,82.35294117647058,Unavailable MOE or zero percentage,Pass
Georgia place,1342128,"Jekyll Island CDP, Georgia",2020-2024,B10050_006,One or two years,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
